latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-7.00128,-35.01669,307.65,1.8,1.31,2021-12-31,0026,T,71,6.1NRT,291.41,16.74,N
-6.9895,-35.01832,328.14,1.8,1.31,2021-12-31,0026,T,100,6.1NRT,287.87,60.9,N
-6.99164,-35.03436,306.01,1.8,1.32,2021-12-31,0026,T,64,6.1NRT,288.07,13.98,N
12.29321,21.11652,304.93,1.1,1.05,2021-12-31,0011,A,62,6.1NRT,290.54,7.4,N
12.28598,21.11996,306.34,1.1,1.05,2021-12-31,0011,A,68,6.1NRT,290.23,8.98,N
12.26358,21.07586,311.08,1.1,1.05,2021-12-31,0011,A,82,6.1NRT,291.33,12.4,N
12.26217,21.08587,309.22,1.1,1.05,2021-12-31,0011,A,77,6.1NRT,290.69,10.83,N
12.25652,21.12587,300.2,1.1,1.05,2021-12-31,0011,A,21,6.1NRT,288.72,5.35,N
11.71625,19.65158,300.13,1.29,1.13,2021-12-31,0011,A,9,6.1NRT,289.86,6.27,N
11.56182,19.74181,302.77,1.27,1.12,2021-12-31,0011,A,35,6.1NRT,289.72,7.93,N
11.53863,19.75634,307.56,1.27,1.12,2021-12-31,0011,A,29,6.1NRT,290.75,10.87,N
11.52863,19.75496,305.39,1.27,1.12,2021-12-31,0011,A,27,6.1NRT,289.81,9.21,N
11.44703,19.76036,317.42,1.26,1.12,2021-12-31,0011,A,95,6.1NRT,289.81,23.02,N
10.02482,25.98569,310.35,1.33,1.14,2021-12-31,0011,A,80,6.1NRT,289.87,15.81,N
10.01653,25.97215,311.46,1.32,1.14,2021-12-31,0011,A,83,6.1NRT,289.76,16.96,N
10.01463,25.98407,315.62,1.33,1.14,2021-12-31,0011,A,92,6.1NRT,290.07,21.77,N
9.24864,26.95026,304.32,1.59,1.24,2021-12-31,0011,A,60,6.1NRT,287.07,14.25,N
9.79655,23.22372,301.68,1.01,1.01,2021-12-31,0011,A,43,6.1NRT,288.12,6.02,N
9.81069,21.81762,303.39,1.01,1.01,2021-12-31,0011,A,55,6.1NRT,292.51,5.12,N
9.17398,21.31915,316.93,1.03,1.01,2021-12-31,0011,A,94,6.1NRT,291.1,15.38,N
9.17264,21.32841,305.36,1.03,1.01,2021-12-31,0011,A,42,6.1NRT,290.5,6.46,N
9.16491,21.31784,316.97,1.03,1.01,2021-12-31,0011,A,58,6.1NRT,291.38,14.53,N
9.16357,21.3271,310.81,1.03,1.01,2021-12-31,0011,A,10,6.1NRT,290.08,9.38,N
9.15584,21.31654,307.31,1.03,1.01,2021-12-31,0011,A,35,6.1NRT,290.95,7.43,N
9.1545,21.32581,304.89,1.03,1.01,2021-12-31,0011,A,12,6.1NRT,290.45,5.9,N
9.14677,21.31524,303.74,1.03,1.01,2021-12-31,0011,A,22,6.1NRT,291.12,5.32,N
8.63037,24.5372,301.75,1.15,1.07,2021-12-31,0011,A,42,6.1NRT,290.08,5.91,N
8.62881,24.54753,306.69,1.15,1.07,2021-12-31,0011,A,69,6.1NRT,290.45,9.32,N
8.68885,21.2943,304.03,1.03,1.01,2021-12-31,0011,A,58,6.1NRT,290.58,6.25,N
8.66896,21.24707,308.46,1.03,1.01,2021-12-31,0011,A,75,6.1NRT,292.74,9.14,N
8.66761,21.25634,303.35,1.03,1.01,2021-12-31,0011,A,55,6.1NRT,292.38,5.8,N
6.86238,32.10749,321.01,4.41,1.93,2021-12-31,0011,A,100,6.1NRT,287.72,158.77,N
6.85555,32.14673,325.77,4.44,1.94,2021-12-31,0011,A,100,6.1NRT,288.39,204.19,N
6.84517,32.10461,300.98,4.41,1.93,2021-12-31,0011,A,22,6.1NRT,287.57,34.62,N
6.83829,32.14384,313.9,4.44,1.94,2021-12-31,0011,A,88,6.1NRT,288.34,108.1,N
6.87054,32.145,301.1,4.44,1.94,2021-12-31,0011,A,37,6.1NRT,287.04,37.58,N
6.85987,32.10276,318.37,4.41,1.93,2021-12-31,0011,A,97,6.1NRT,287.47,139.02,N
6.8533,32.14206,336.57,4.44,1.94,2021-12-31,0011,A,100,6.1NRT,289.03,328.53,N
7.64926,25.60519,304.14,1.36,1.15,2021-12-31,0011,A,59,6.1NRT,288.17,10.51,N
7.68368,23.84532,305.03,1.09,1.04,2021-12-31,0011,A,46,6.1NRT,290.09,7.33,N
7.67587,23.83416,302.98,1.09,1.04,2021-12-31,0011,A,33,6.1NRT,290.72,6.18,N
7.32573,25.10895,301,1.28,1.12,2021-12-31,0011,A,36,6.1NRT,281.29,7.22,N
7.27921,25.07861,310.1,1.27,1.12,2021-12-31,0011,A,79,6.1NRT,283.81,15.05,N
7.27744,25.08992,303.86,1.28,1.12,2021-12-31,0011,A,53,6.1NRT,283.77,8.98,N
7.27782,25.08427,312.2,1.28,1.12,2021-12-31,0011,A,84,6.1NRT,284.25,16.97,N
8.56603,14.52117,300.87,2.79,1.6,2021-12-31,0011,A,35,6.1NRT,286.45,26,N
6.77881,26.92509,318.54,1.74,1.29,2021-12-31,0011,A,97,6.1NRT,276.94,41.24,N
6.76725,26.92332,301.03,1.74,1.29,2021-12-31,0011,A,37,6.1NRT,277.16,13.2,N
